PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF09717	PF06025	Very high	NA	NA	NA	Plasmodium falciparum domain of unknown function (CPW_WPC)	1	2
PF14377	PF06025	Very high	NA	NA	NA	Ubiquitin binding region	1	2
PF00044	PF06048	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	25811	30
PF00118	PF06048	Low	NA	NA	NA	TCP-1/cpn60 chaperonin family	25718	30
PF00121	PF06048	Low	GO:0008152	BP	metabolic process	Triosephosphate isomerase	26009	30
PF00154	PF06048	Low	GO:0006281	BP	DNA repair	recA bacterial DNA recombination protein	26266	30
PF00166	PF06048	Low	GO:0006457	BP	protein folding	Chaperonin 10 Kd subunit	25494	30
PF00215	PF06048	Low	GO:0006207	BP	'de novo' pyrimidine nucleobase biosynthetic process	Orotidine 5'-phosphate decarboxylase / HUMPS family	23907	30
PF00318	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein S2	26126	30
PF00391	PF06048	Low	GO:0016310	BP	phosphorylation	PEP-utilising enzyme, mobile domain	23611	30
PF00436	PF06048	Low	NA	NA	NA	Single-strand binding protein family	26309	30
PF00438	PF06048	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	30
PF00466	PF06048	Low	GO:0042254	BP	ribosome biogenesis	Ribosomal protein L10	25304	30
PF00574	PF06048	Low	NA	NA	NA	Clp protease	25670	30
PF00627	PF06048	Low	NA	NA	NA	UBA/TS-N domain	25202	30
PF00712	PF06048	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	30
PF00772	PF06048	Low	GO:0006260	BP	DNA replication	DnaB-like helicase N terminal domain	26173	30
PF00834	PF06048	Low	GO:0005975	BP	carbohydrate metabolic process	Ribulose-phosphate 3 epimerase family	25588	30
PF00886	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein S16	25914	30
PF00889	PF06048	Low	GO:0006414	BP	translational elongation	Elongation factor TS	26290	30
PF01016	PF06048	Low	GO:0006412	BP	translation	Ribosomal L27 protein	26025	30
PF01018	PF06048	Low	NA	NA	NA	GTP1/OBG	25327	30
PF01026	PF06048	Low	NA	NA	NA	TatD related DNase	26315	30
PF01035	PF06048	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	30
PF01043	PF06048	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	30
PF01084	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	30
PF01132	PF06048	Low	GO:0006414	BP	translational elongation	Elongation factor P (EF-P) OB domain	25781	30
PF01197	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein L31	25995	30
PF01245	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein L19	26142	30
PF01367	PF06048	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	30
PF01381	PF06048	Low	NA	NA	NA	Helix-turn-helix	24979	30
PF01406	PF06048	Low	NA	NA	NA	tRNA synthetases class I (C) catalytic domain	26293	30
PF01632	PF06048	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	30
PF01668	PF06048	Low	NA	NA	NA	SmpB protein	25791	30
PF01725	PF06048	Low	GO:0009143	BP	nucleoside triphosphate catabolic process	Ham1 family	24678	30
PF01746	PF06048	Low	NA	NA	NA	tRNA (Guanine-1)-methyltransferase	26278	30
PF01783	PF06048	Low	GO:0006412	BP	translation	Ribosomal L32p protein family	24492	30
PF01807	PF06048	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	30
PF02096	PF06048	Low	NA	NA	NA	60Kd inner membrane protein	26063	30
PF02403	PF06048	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	30
PF02739	PF06048	Low	NA	NA	NA	5'-3' exonuclease, N-terminal resolvase-like domain	26057	30
PF02767	PF06048	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	30
PF02768	PF06048	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	30
PF02772	PF06048	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	30
PF02773	PF06048	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, C-terminal domain	24800	30
PF02810	PF06048	Low	NA	NA	NA	SEC-C motif	21707	30
PF02896	PF06048	Low	GO:0016310	BP	phosphorylation	PEP-utilising enzyme, TIM barrel domain	23046	30
PF02911	PF06048	Low	GO:0009058	BP	biosynthetic process	Formyl transferase, C-terminal domain	25746	30
PF03484	PF06048	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	30
PF03726	PF06048	Low	GO:0006396	BP	RNA processing	Polyribonucleotide nucleotidyltransferase, RNA binding domain	23888	30
PF04561	PF06048	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 2	24752	30
PF04563	PF06048	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit	24982	30
PF05697	PF06048	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	30
PF05697	PF06048	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	30
PF05698	PF06048	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF) C-terminus	24033	30
PF05698	PF06048	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF) C-terminus	24033	30
PF06071	PF06048	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	30
PF06418	PF06048	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	30
PF06421	PF06048	Low	NA	NA	NA	GTP-binding protein LepA C-terminus	25825	30
PF07516	PF06048	Low	GO:0017038	BP	protein import	SecA Wing and Scaffold domain	26154	30
PF08207	PF06048	Low	NA	NA	NA	Elongation factor P (EF-P) KOW-like domain	26144	30
PF08275	PF06048	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	30
PF08299	PF06048	Low	GO:0006275	BP	regulation of DNA replication	Bacterial dnaA protein helix-turn-helix	25734	30
PF08299	PF06048	Low	GO:0006270	BP	DNA replication initiation	Bacterial dnaA protein helix-turn-helix	25734	30
PF08459	PF06048	Low	NA	NA	NA	UvrC Helix-hairpin-helix N-terminal	25901	30
PF09285	PF06048	Low	GO:0043043	BP	peptide biosynthetic process	Elongation factor P, C-terminal	26200	30
PF12002	PF06048	Low	NA	NA	NA	MgsA AAA+ ATPase C terminal	23933	30
PF12344	PF06048	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	30
PF13522	PF06048	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	30
PF13603	PF06048	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	30
PF00113	PF06067	Low	NA	NA	NA	Enolase, C-terminal TIM barrel domain	25084	131
PF00118	PF06067	Low	NA	NA	NA	TCP-1/cpn60 chaperonin family	25718	131
PF00149	PF06067	Low	NA	NA	NA	Calcineurin-like phosphoesterase	24184	131
PF00154	PF06067	Low	GO:0006281	BP	DNA repair	recA bacterial DNA recombination protein	26266	131
PF00162	PF06067	Low	GO:0006096	BP	glycolytic process	Phosphoglycerate kinase	25988	131
PF00166	PF06067	Low	GO:0006457	BP	protein folding	Chaperonin 10 Kd subunit	25494	131
PF00215	PF06067	Low	GO:0006207	BP	'de novo' pyrimidine nucleobase biosynthetic process	Orotidine 5'-phosphate decarboxylase / HUMPS family	23907	131
PF00308	PF06067	Low	NA	NA	NA	Bacterial dnaA  protein	26017	131
PF00438	PF06067	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	131
PF00464	PF06067	Low	NA	NA	NA	Serine hydroxymethyltransferase	25446	131
PF00533	PF06067	Low	NA	NA	NA	BRCA1 C Terminus (BRCT) domain	25279	131
PF00627	PF06067	Low	NA	NA	NA	UBA/TS-N domain	25202	131
PF00633	PF06067	Low	NA	NA	NA	Helix-hairpin-helix motif	23284	131
PF00684	PF06067	Low	NA	NA	NA	DnaJ central domain	25246	131
PF00709	PF06067	Low	GO:0006164	BP	purine nucleotide biosynthetic process	Adenylosuccinate synthetase	23932	131
PF00712	PF06067	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	131
PF00763	PF06067	Low	GO:0055114	BP	oxidation-reduction process	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	25400	131
PF00817	PF06067	Low	GO:0006281	BP	DNA repair	impB/mucB/samB family	23225	131
PF00829	PF06067	Low	NA	NA	NA	Ribosomal prokaryotic L21 protein	25967	131
PF00830	PF06067	Low	NA	NA	NA	Ribosomal L28 family	24806	131
PF00831	PF06067	Low	GO:0006412	BP	translation	Ribosomal L29 protein	25386	131
PF00834	PF06067	Low	GO:0005975	BP	carbohydrate metabolic process	Ribulose-phosphate 3 epimerase family	25588	131
PF00886	PF06067	Low	GO:0006412	BP	translation	Ribosomal protein S16	25914	131
PF00889	PF06067	Low	GO:0006414	BP	translational elongation	Elongation factor TS	26290	131
PF00958	PF06067	Low	GO:0006177	BP	GMP biosynthetic process	GMP synthase C terminal domain	23549	131
PF00958	PF06067	Low	GO:0006164	BP	purine nucleotide biosynthetic process	GMP synthase C terminal domain	23549	131
PF00984	PF06067	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, central domain	21830	131
PF00988	PF06067	Low	NA	NA	NA	Carbamoyl-phosphate synthase small chain, CPSase domain	22158	131
PF01016	PF06067	Low	GO:0006412	BP	translation	Ribosomal L27 protein	26025	131
PF01035	PF06067	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	131
PF01043	PF06067	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	131
PF01071	PF06067	Low	NA	NA	NA	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	23338	131
PF01084	PF06067	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	131
PF01113	PF06067	Low	GO:0009089	BP	lysine biosynthetic process via diaminopimelate	Dihydrodipicolinate reductase, N-terminus	22718	131
PF01113	PF06067	Low	GO:0055114	BP	oxidation-reduction process	Dihydrodipicolinate reductase, N-terminus	22718	131
PF01145	PF06067	Low	NA	NA	NA	SPFH domain / Band 7 family	24519	131
PF01245	PF06067	Low	GO:0006412	BP	translation	Ribosomal protein L19	26142	131
PF01255	PF06067	Low	NA	NA	NA	Putative undecaprenyl diphosphate synthase	25414	131
PF01259	PF06067	Low	NA	NA	NA	SAICAR synthetase	23210	131
PF01367	PF06067	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	131
PF01381	PF06067	Low	NA	NA	NA	Helix-turn-helix	24979	131
PF01668	PF06067	Low	NA	NA	NA	SmpB protein	25791	131
PF01678	PF06067	Low	GO:0009089	BP	lysine biosynthetic process via diaminopimelate	Diaminopimelate epimerase	21597	131
PF01725	PF06067	Low	GO:0009143	BP	nucleoside triphosphate catabolic process	Ham1 family	24678	131
PF01743	PF06067	Low	GO:0006396	BP	RNA processing	Poly A polymerase head domain	25823	131
PF01761	PF06067	Low	NA	NA	NA	3-dehydroquinate synthase	22823	131
PF01783	PF06067	Low	GO:0006412	BP	translation	Ribosomal L32p protein family	24492	131
PF01807	PF06067	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	131
PF01872	PF06067	Low	GO:0009231	BP	riboflavin biosynthetic process	RibD C-terminal domain	21946	131
PF01872	PF06067	Low	GO:0055114	BP	oxidation-reduction process	RibD C-terminal domain	21946	131
PF02132	PF06067	Low	NA	NA	NA	RecR protein	24643	131
PF02403	PF06067	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	131
PF02739	PF06067	Low	NA	NA	NA	5'-3' exonuclease, N-terminal resolvase-like domain	26057	131
PF02772	PF06067	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	131
PF02773	PF06067	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, C-terminal domain	24800	131
PF02843	PF06067	Low	GO:0009113	BP	purine nucleobase biosynthetic process	Phosphoribosylglycinamide synthetase, C domain	23280	131
PF02844	PF06067	Low	GO:0009113	BP	purine nucleobase biosynthetic process	Phosphoribosylglycinamide synthetase, N domain	22902	131
PF02882	PF06067	Low	NA	NA	NA	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	25607	131
PF02912	PF06067	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	Aminoacyl tRNA synthetase class II, N-terminal domain	24964	131
PF03358	PF06067	Low	NA	NA	NA	NADPH-dependent FMN reductase	20995	131
PF03484	PF06067	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	131
PF03720	PF06067	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain	21328	131
PF03721	PF06067	Low	GO:0055114	BP	oxidation-reduction process	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	21855	131
PF03726	PF06067	Low	GO:0006396	BP	RNA processing	Polyribonucleotide nucleotidyltransferase, RNA binding domain	23888	131
PF03952	PF06067	Low	NA	NA	NA	Enolase, N-terminal domain	24728	131
PF04851	PF06067	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	131
PF05173	PF06067	Low	GO:0009089	BP	lysine biosynthetic process via diaminopimelate	Dihydrodipicolinate reductase, C-terminus	22611	131
PF05173	PF06067	Low	GO:0055114	BP	oxidation-reduction process	Dihydrodipicolinate reductase, C-terminus	22611	131
PF05697	PF06067	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	131
PF05697	PF06067	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	131
PF06071	PF06067	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	131
PF06418	PF06067	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	131
PF06421	PF06067	Low	NA	NA	NA	GTP-binding protein LepA C-terminus	25825	131
PF08241	PF06067	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	131
PF08275	PF06067	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	131
PF11799	PF06067	Low	GO:0006281	BP	DNA repair	impB/mucB/samB family C-terminal domain	22701	131
PF12002	PF06067	Low	NA	NA	NA	MgsA AAA+ ATPase C terminal	23933	131
PF12344	PF06067	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	131
PF12627	PF06067	Low	NA	NA	NA	Probable RNA and SrmB- binding site of polymerase A	25031	131
PF12697	PF06067	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	131
PF13411	PF06067	Low	GO:0006355	BP	regulation of transcription, DNA-templated	MerR HTH family regulatory protein	23482	131
PF13489	PF06067	High	NA	NA	NA	Methyltransferase domain	22564	131
PF13522	PF06067	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	131
PF13561	PF06067	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	131
PF13793	PF06067	Low	NA	NA	NA	N-terminal domain of ribose phosphate pyrophosphokinase	24674	131
PF00398	PF06074	Low	NA	NA	NA	Ribosomal RNA adenine dimethylase	25999	6568
PF00438	PF06074	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	6568
PF00712	PF06074	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	6568
PF00772	PF06074	Low	GO:0006260	BP	DNA replication	DnaB-like helicase N terminal domain	26173	6568
PF00886	PF06074	Low	GO:0006412	BP	translation	Ribosomal protein S16	25914	6568
PF01018	PF06074	Low	NA	NA	NA	GTP1/OBG	25327	6568
PF01035	PF06074	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	6568
PF01084	PF06074	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	6568
PF01381	PF06074	Low	NA	NA	NA	Helix-turn-helix	24979	6568
PF01668	PF06074	Low	NA	NA	NA	SmpB protein	25791	6568
PF01807	PF06074	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	6568
PF02772	PF06074	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	6568
PF03120	PF06074	Low	GO:0006281	BP	DNA repair	NAD-dependent DNA ligase OB-fold domain	25333	6568
PF03120	PF06074	Low	GO:0006260	BP	DNA replication	NAD-dependent DNA ligase OB-fold domain	25333	6568
PF03772	PF06074	Low	NA	NA	NA	Competence protein	24341	6568
PF04233	PF06074	High	NA	NA	NA	Phage Mu protein F like protein	4122	6568
PF05069	PF06074	High	NA	NA	NA	Phage virion morphogenesis family	2386	6568
PF06252	PF06074	Low	NA	NA	NA	Protein of unknown function (DUF1018)	1340	6568
PF06418	PF06074	Low	GO:0006221	BP	pyrimidine nucleotide biosynthetic process	CTP synthase N-terminus	25022	6568
PF07030	PF06074	Very high	NA	NA	NA	Protein of unknown function (DUF1320)	1489	6568
PF08275	PF06074	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	6568
PF10123	PF06074	Low	NA	NA	NA	Mu-like prophage I protein	1075	6568
PF13603	PF06074	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	6568
PF06166	PF06149	Very high	NA	NA	NA	Protein of unknown function (DUF979)	2537	6
PF06149	PF06166	Very high	NA	NA	NA	Protein of unknown function (DUF969)	2528	NA
PF00665	PF06252	Low	GO:0015074	BP	DNA integration	Integrase core domain	17755	6877
PF01381	PF06252	Low	NA	NA	NA	Helix-turn-helix	24979	6877
PF06074	PF06252	Low	NA	NA	NA	Protein of unknown function (DUF935)	1875	6877
PF07030	PF06252	Low	NA	NA	NA	Protein of unknown function (DUF1320)	1489	6877
PF11985	PF06252	High	NA	NA	NA	Protein of unknown function (DUF3486)	944	6877
PF13401	PF06252	High	NA	NA	NA	AAA domain	11136	6877
PF01266	PF06267	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	2665
PF13561	PF06267	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	2665
PF03433	PF06287	High	NA	NA	NA	EspA-like secreted protein	147	1415
PF13327	PF06287	Very high	NA	NA	NA	Type III secretion system subunit	146	1415
PF04175	PF06288	Low	NA	NA	NA	Protein of unknown function (DUF406)	1206	141
PF09950	PF06381	High	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2184)	629	66
PF09979	PF06381	High	NA	NA	NA	Uncharacterized protein conserved in bacteria (DUF2213)	749	66
PF13262	PF06381	High	NA	NA	NA	Protein of unknown function (DUF4054)	612	66
PF00613	PF06417	Very high	NA	NA	NA	Phosphoinositide 3-kinase family, accessory domain (PIK domain)	1	564
PF00806	PF06417	Very high	NA	NA	NA	Pumilio-family RNA binding repeat	1	564
PF01237	PF06417	Very high	NA	NA	NA	Oxysterol-binding protein	1	564
PF01843	PF06417	Very high	NA	NA	NA	DIL domain	1	564
PF02207	PF06417	Very high	NA	NA	NA	Putative zinc finger in N-recognin (UBR box)	1	564
PF04757	PF06417	Very high	NA	NA	NA	Pex2 / Pex12 amino terminal region	1	564
PF04818	PF06417	Very high	NA	NA	NA	RNA polymerase II-binding domain.	1	564
PF05047	PF06417	Very high	NA	NA	NA	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain	1	564
PF05871	PF06417	Very high	GO:0071985	BP	multivesicular body sorting pathway	ESCRT-II complex subunit	1	564
PF06090	PF06417	Very high	NA	NA	NA	Inositol-pentakisphosphate 2-kinase	1	564
PF07713	PF06417	Very high	GO:0006397	BP	mRNA processing	Protein of unknown function (DUF1604)	1	564
PF08295	PF06417	Very high	NA	NA	NA	Sin3 family co-repressor	1	564
PF08620	PF06417	Very high	NA	NA	NA	RPAP1-like, C-terminal	1	564
PF08825	PF06417	Very high	GO:0045116	BP	protein neddylation	E2 binding domain	1	564
PF09416	PF06417	Very high	GO:0000184	BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	RNA helicase (UPF2 interacting domain)	1	564
PF09692	PF06417	Very high	GO:0031047	BP	gene silencing by RNA	Argonaute siRNA chaperone (ARC) complex subunit Arb1	1	564
PF09745	PF06417	Very high	NA	NA	NA	Coiled-coil domain-containing protein 55 (DUF2040)	1	564
PF09812	PF06417	Very high	NA	NA	NA	Mitochondrial ribosomal protein L28	1	564
PF10153	PF06417	Very high	GO:0006364	BP	rRNA processing	rRNA-processing protein Efg1	1	564
PF10347	PF06417	Very high	NA	NA	NA	RNA pol II promoter Fmp27 protein domain	1	564
PF10937	PF06417	Very high	NA	NA	NA	Ribosomal protein S36, mitochondrial	1	564
PF11326	PF06417	Very high	NA	NA	NA	Protein of unknown function (DUF3128)	1	564
PF12090	PF06417	Very high	NA	NA	NA	Spt20 family	1	564
PF12234	PF06417	Very high	NA	NA	NA	RAVE protein 1 C terminal	1	564
PF13945	PF06417	Very high	NA	NA	NA	Salt tolerance down-regulator	1	564
PF14510	PF06417	Very high	NA	NA	NA	ABC-transporter N-terminal	1	564
PF14558	PF06417	Very high	NA	NA	NA	ML-like domain	1	564
PF14671	PF06417	Very high	NA	NA	NA	Dual specificity protein phosphatase, N-terminal half	1	564
