KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K20531	PF05284	High	map02024	Quorum sensing	trbF; type IV secretion system protein TrbF	1800	5
K20532	PF05284	High	map02024	Quorum sensing	trbG; type IV secretion system protein TrbG	2241	5
K20533	PF05284	Low	map02024	Quorum sensing	trbI; type IV secretion system protein TrbI	1923	5
K01114	PF05506	High	map00562	Inositol phosphate metabolism	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map00564	Glycerophospholipid metabolism	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map00565	Ether lipid metabolism	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map01100	Metabolic pathways	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map01110	Biosynthesis of secondary metabolites	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map02024	Quorum sensing	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K01114	PF05506	High	map04919	Thyroid hormone signaling pathway	plc; phospholipase C [EC:3.1.4.3]	3827	NA
K02285	PF05542	Low	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	71
K02285	PF05542	Low	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	71
K02634	PF05542	High	map00195	Photosynthesis	petA; apocytochrome f	402	71
K02634	PF05542	High	map01100	Metabolic pathways	petA; apocytochrome f	402	71
K02643	PF05542	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	71
K02643	PF05542	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	71
K02694	PF05542	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	71
K02694	PF05542	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	71
K02697	PF05542	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	71
K02704	PF05542	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	71
K02704	PF05542	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	71
K02705	PF05542	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	71
K02705	PF05542	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	71
K02706	PF05542	Low	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	71
K02706	PF05542	Low	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	71
K02714	PF05542	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	71
K02716	PF05542	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	71
K02718	PF05542	Low	map00195	Photosynthesis	psbT; photosystem II PsbT protein	310	71
K02723	PF05542	Low	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	71
K05370	PF05542	Low	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	71
K05370	PF05542	Low	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	71
K08902	PF05542	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	71
K01101	PF05595	Low	map00627	Aminobenzoate degradation	E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]	8209	1155
K01101	PF05595	Low	map01120	Microbial metabolism in diverse environments	E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]	8209	1155
K07652	PF05595	Low	map02020	Two-component system	vicK; two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	5706	1155
K07816	PF05595	Low	map00230	Purine metabolism	E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]	4893	1155
K07816	PF05595	Low	map01100	Metabolic pathways	E2.7.6.5X; putative GTP pyrophosphokinase [EC:2.7.6.5]	4893	1155
K08724	PF05595	Low	map00550	Peptidoglycan biosynthesis	pbpB; penicillin-binding protein 2B	3634	1155
K15780	PF05595	Low	map00230	Purine metabolism	tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]	6513	1155
K15780	PF05595	Low	map01100	Metabolic pathways	tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]	6513	1155
K15780	PF05595	Low	map01110	Biosynthesis of secondary metabolites	tilS-hprT; bifunctional protein TilS/HprT [EC:6.3.4.19 2.4.2.8]	6513	1155
K16786	PF05595	Low	map02010	ABC transporters	ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	6634	1155
K00138	PF05610	High	map00010	Glycolysis / Gluconeogenesis	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	8691	6
K00138	PF05610	High	map00620	Pyruvate metabolism	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	8691	6
K00138	PF05610	High	map01100	Metabolic pathways	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	8691	6
K00138	PF05610	High	map01110	Biosynthesis of secondary metabolites	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	8691	6
K00138	PF05610	High	map01120	Microbial metabolism in diverse environments	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	8691	6
K12581	PF06012	High	map03018	RNA degradation	CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8	2	NA
K12581	PF06025	High	map03018	RNA degradation	CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8	2	2
K00799	PF06041	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K00799	PF06041	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	546
K02967	PF06048	Low	map03010	Ribosome	RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2	25282	30
K13583	PF06242	High	map04112	Cell cycle - Caulobacter	gcrA; GcrA cell cycle regulator	2684	4534
K15344	PF06287	High	map05132	Salmonella infection	sseB; secreted effector protein SseB	130	1415
K15345	PF06287	High	map05132	Salmonella infection	sseC; secreted effector protein SseC	130	1415
K15346	PF06287	High	map05132	Salmonella infection	sseD; secreted effector protein SseD	119	1415
K06162	PF06299	Low	map00440	Phosphonate and phosphinate metabolism	phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	3086	1
K06162	PF06299	Low	map01100	Metabolic pathways	phnM; alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	3086	1
K00888	PF06417	Very high	map00562	Inositol phosphate metabolism	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	564
K00888	PF06417	Very high	map01100	Metabolic pathways	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	564
K00888	PF06417	Very high	map04011	MAPK signaling pathway - yeast	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	564
K00888	PF06417	Very high	map04070	Phosphatidylinositol signaling system	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	564
K02202	PF06417	High	map03022	Basal transcription factors	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	564
K02202	PF06417	High	map03420	Nucleotide excision repair	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	564
K02202	PF06417	High	map04110	Cell cycle	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	564
K02516	PF06417	Very high	map03013	RNA transport	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	564
K02516	PF06417	Very high	map04011	MAPK signaling pathway - yeast	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	564
K02516	PF06417	Very high	map04111	Cell cycle - yeast	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	564
K03018	PF06417	Very high	map03020	RNA polymerase	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	1	564
K03018	PF06417	Very high	map04623	Cytosolic DNA-sensing pathway	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	1	564
K03027	PF06417	Very high	map03020	RNA polymerase	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	1	564
K03027	PF06417	Very high	map04623	Cytosolic DNA-sensing pathway	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	1	564
K03350	PF06417	Very high	map04110	Cell cycle	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map04111	Cell cycle - yeast	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map04113	Meiosis - yeast	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map04114	Oocyte meiosis	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map04120	Ubiquitin mediated proteolysis	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map04914	Progesterone-mediated oocyte maturation	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03350	PF06417	Very high	map05166	Human T-cell leukemia virus 1 infection	APC3, CDC27; anaphase-promoting complex subunit 3	1	564
K03845	PF06417	Very high	map00510	N-Glycan biosynthesis	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	564
K03845	PF06417	Very high	map00513	Various types of N-glycan biosynthesis	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	564
K03845	PF06417	Very high	map01100	Metabolic pathways	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	564
K04513	PF06417	Very high	map04011	MAPK signaling pathway - yeast	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04014	Ras signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04015	Rap1 signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04022	cGMP-PKG signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04024	cAMP signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04062	Chemokine signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04071	Sphingolipid signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04072	Phospholipase D signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04144	Endocytosis	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04150	mTOR signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04270	Vascular smooth muscle contraction	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04310	Wnt signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04350	TGF-beta signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04360	Axon guidance	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04361	Axon regeneration	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04510	Focal adhesion	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04520	Adherens junction	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04530	Tight junction	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04611	Platelet activation	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04621	NOD-like receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04625	C-type lectin receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04660	T cell receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04670	Leukocyte transendothelial migration	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04722	Neurotrophin signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04810	Regulation of actin cytoskeleton	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04921	Oxytocin signaling pathway	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04928	Parathyroid hormone synthesis, secretion and action	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map04972	Pancreatic secretion	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05100	Bacterial invasion of epithelial cells	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05130	Pathogenic Escherichia coli infection	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05133	Pertussis	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05135	Yersinia infection	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05152	Tuberculosis	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05163	Human cytomegalovirus infection	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05200	Pathways in cancer	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05203	Viral carcinogenesis	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05205	Proteoglycans in cancer	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05206	MicroRNAs in cancer	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05210	Colorectal cancer	RHOA; Ras homolog gene family, member A	1	564
K04513	PF06417	Very high	map05418	Fluid shear stress and atherosclerosis	RHOA; Ras homolog gene family, member A	1	564
K05531	PF06417	Very high	map00513	Various types of N-glycan biosynthesis	MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	1	564
K05531	PF06417	Very high	map01100	Metabolic pathways	MNN10; mannan polymerase II complex MNN10 subunit [EC:2.4.1.-]	1	564
K06101	PF06417	Very high	map00310	Lysine degradation	ASH1L; histone-lysine N-methyltransferase ASH1L [EC:2.1.1.43]	1	564
K06636	PF06417	Very high	map04110	Cell cycle	SMC1; structural maintenance of chromosome 1	1	564
K06636	PF06417	Very high	map04111	Cell cycle - yeast	SMC1; structural maintenance of chromosome 1	1	564
K06636	PF06417	Very high	map04113	Meiosis - yeast	SMC1; structural maintenance of chromosome 1	1	564
K06636	PF06417	Very high	map04114	Oocyte meiosis	SMC1; structural maintenance of chromosome 1	1	564
K06639	PF06417	Very high	map04110	Cell cycle	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	564
K06639	PF06417	Very high	map04111	Cell cycle - yeast	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	564
K06639	PF06417	Very high	map04113	Meiosis - yeast	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	1	564
K06664	PF06417	Very high	map04146	Peroxisome	PEX2, PXMP3; peroxin-2	1	564
K06699	PF06417	Very high	map03050	Proteasome	PSME4; proteasome activator subunit 4	1	564
K08711	PF06417	Very high	map02010	ABC transporters	ABCG2.PDR, CDR1; ATP-binding cassette, subfamily G (WHITE), member 2, PDR	1	564
K08712	PF06417	Very high	map02010	ABC transporters	ABCG2.SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2	1	564
K08773	PF06417	Very high	map04014	Ras signaling pathway	RALBP1; RalA-binding protein 1	1	564
K08773	PF06417	Very high	map05200	Pathways in cancer	RALBP1; RalA-binding protein 1	1	564
K08773	PF06417	Very high	map05212	Pancreatic cancer	RALBP1; RalA-binding protein 1	1	564
K10661	PF06417	Very high	map04141	Protein processing in endoplasmic reticulum	MARCH6, DOA10; E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27]	1	564
K10686	PF06417	Very high	map04120	Ubiquitin mediated proteolysis	UBE1C, UBA3; ubiquitin-activating enzyme E1 C [EC:6.2.1.45]	1	564
K10846	PF06417	Very high	map03420	Nucleotide excision repair	ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5	1	564
K11137	PF06417	Very high	map03460	Fanconi anemia pathway	TELO2, TEL2; telomere length regulation protein	1	564
K11137	PF06417	Very high	map04150	mTOR signaling pathway	TELO2, TEL2; telomere length regulation protein	1	564
K11592	PF06417	Very high	map05206	MicroRNAs in cancer	DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]	1	564
K11644	PF06417	Very high	map04139	Mitophagy - yeast	SIN3A; paired amphipathic helix protein Sin3a	1	564
K11644	PF06417	Very high	map04919	Thyroid hormone signaling pathway	SIN3A; paired amphipathic helix protein Sin3a	1	564
K11644	PF06417	Very high	map05016	Huntington disease	SIN3A; paired amphipathic helix protein Sin3a	1	564
K11644	PF06417	Very high	map05169	Epstein-Barr virus infection	SIN3A; paired amphipathic helix protein Sin3a	1	564
K11644	PF06417	Very high	map05202	Transcriptional misregulation in cancer	SIN3A; paired amphipathic helix protein Sin3a	1	564
K11825	PF06417	Very high	map04144	Endocytosis	AP2B1; AP-2 complex subunit beta-1	1	564
K11825	PF06417	Very high	map04721	Synaptic vesicle cycle	AP2B1; AP-2 complex subunit beta-1	1	564
K11825	PF06417	Very high	map04961	Endocrine and other factor-regulated calcium reabsorption	AP2B1; AP-2 complex subunit beta-1	1	564
K11825	PF06417	Very high	map05016	Huntington disease	AP2B1; AP-2 complex subunit beta-1	1	564
K12161	PF06417	Very high	map04122	Sulfur relay system	URM1; ubiquitin related modifier 1	1	564
K12182	PF06417	Very high	map04144	Endocytosis	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	1	564
K12182	PF06417	Very high	map04145	Phagosome	HGS, HRS, VPS27; hepatocyte growth factor-regulated tyrosine kinase substrate	1	564
K12189	PF06417	Very high	map04144	Endocytosis	VPS25, EAP20; ESCRT-II complex subunit VPS25	1	564
K12350	PF06417	Very high	map00600	Sphingolipid metabolism	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	564
K12350	PF06417	Very high	map01100	Metabolic pathways	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	564
K12350	PF06417	Very high	map04071	Sphingolipid signaling pathway	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	564
K12350	PF06417	Very high	map04142	Lysosome	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	564
K12350	PF06417	Very high	map04217	Necroptosis	SMPD1, ASM; sphingomyelin phosphodiesterase [EC:3.1.4.12]	1	564
K12392	PF06417	Very high	map04142	Lysosome	AP1B1; AP-1 complex subunit beta-1	1	564
K12392	PF06417	Very high	map05170	Human immunodeficiency virus 1 infection	AP1B1; AP-1 complex subunit beta-1	1	564
K12854	PF06417	Very high	map03040	Spliceosome	SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]	1	564
K13577	PF06417	High	map04964	Proximal tubule bicarbonate reclamation	SLC25A10, DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10	2	564
K13728	PF06417	High	map04110	Cell cycle	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	2	564
